part_number,name,type,href
114,Требюше,other_other_other,https://haddan.ru/thing.php?type=114
115,Тура,other_other_other,https://haddan.ru/thing.php?type=115
116,План атаки,other_other_other,https://haddan.ru/thing.php?type=116
117,Штурмовой ларец,food_potion_potion,https://haddan.ru/thing.php?type=117
118,Кошка,other_other_other,https://haddan.ru/thing.php?type=118
119,Мантелет,other_other_other,https://haddan.ru/thing.php?type=119
120,Штурмовая Лестница,other_other_other,https://haddan.ru/thing.php?type=120
121,Толленон,other_other_other,https://haddan.ru/thing.php?type=121
122,Малый Волшебный молот,other_other_other,https://haddan.ru/thing.php?type=122
123,Малый Экстрактор Рун,other_other_other,https://haddan.ru/thing.php?type=123
124,Ларец Профессионала,food_potion_potion,https://haddan.ru/thing.php?type=124
125,Фонарь,other_other_other,https://haddan.ru/thing.php?type=125
126,Коса,other_other_other,https://haddan.ru/thing.php?type=126
127,Наковальня,other_other_other,https://haddan.ru/thing.php?type=127
128,Паропила,other_other_other,https://haddan.ru/thing.php?type=128
129,Реторта,other_other_other,https://haddan.ru/thing.php?type=129
130,Ларец Трудоголика,food_potion_potion,https://haddan.ru/thing.php?type=130
131,Каска,other_other_other,https://haddan.ru/thing.php?type=131
132,Колба,other_other_other,https://haddan.ru/thing.php?type=132
133,Кузнечный молот,other_other_other,https://haddan.ru/thing.php?type=133
134,Серп,other_other_other,https://haddan.ru/thing.php?type=134
135,Топор Лесоруба,other_other_other,https://haddan.ru/thing.php?type=135
136,Ларец Первооткрывателя,food_potion_potion,https://haddan.ru/thing.php?type=136
137,Бинокль,other_other_other,https://haddan.ru/thing.php?type=137
138,Секстант,other_other_other,https://haddan.ru/thing.php?type=138
139,Стереотруба,other_other_other,https://haddan.ru/thing.php?type=139
140,Телескоп,other_other_other,https://haddan.ru/thing.php?type=140
141,Подзорная Труба,other_other_other,https://haddan.ru/thing.php?type=141
147,Темное Пиво,food_potion_potion,https://haddan.ru/thing.php?type=147
148,Водка,food_potion_potion,https://haddan.ru/thing.php?type=148
149,Коньяк,food_potion_potion,https://haddan.ru/thing.php?type=149
150,Кольцо Победителя Турнира,wear_ring_ring,https://haddan.ru/thing.php?type=150
151,Эликсир Метаморфозы,food_potion_potion,https://haddan.ru/thing.php?type=151
152,Ларец Исследователя,food_potion_potion,https://haddan.ru/thing.php?type=152
153,Фляга,other_other_other,https://haddan.ru/thing.php?type=153
154,Котелок,other_other_other,https://haddan.ru/thing.php?type=154
155,Карта Лабиринта,other_other_other,https://haddan.ru/thing.php?type=155
156,Огниво,other_other_other,https://haddan.ru/thing.php?type=156
157,Палатка,other_other_other,https://haddan.ru/thing.php?type=157
158,Ларец Защитника,food_potion_potion,https://haddan.ru/thing.php?type=158
159,Баллиста,other_other_other,https://haddan.ru/thing.php?type=159
160,Бартизана,other_other_other,https://haddan.ru/thing.php?type=160
161,Котел со смолой,other_other_other,https://haddan.ru/thing.php?type=161
162,Стена,other_other_other,https://haddan.ru/thing.php?type=162
163,Валун,other_other_other,https://haddan.ru/thing.php?type=163
164,Ларец Заступника,food_potion_potion,https://haddan.ru/thing.php?type=164
165,Арбалет,other_other_other,https://haddan.ru/thing.php?type=165
166,Факел,other_other_other,https://haddan.ru/thing.php?type=166
167,Щит,other_other_other,https://haddan.ru/thing.php?type=167
168,Меч,other_other_other,https://haddan.ru/thing.php?type=168
169,Знамя,other_other_other,https://haddan.ru/thing.php?type=169
176,Кольцо Императора,other_other_other,https://haddan.ru/thing.php?type=176
177,Часть кольца Императора,other_other_other,https://haddan.ru/thing.php?type=177
178,Эликсир Всплеска,food_potion_potion,https://haddan.ru/thing.php?type=178
179,Эликсир Агрессии,food_potion_potion,https://haddan.ru/thing.php?type=179
180,Медальон Анореда,wear_amulet_amulet,https://haddan.ru/thing.php?type=180
181,Клинок Света,wear_weapon_sword,https://haddan.ru/thing.php?type=181
182,Таинственный камень,other_other_other,https://haddan.ru/thing.php?type=182
183,Обручальное кольцо,wear_ring_mar,https://haddan.ru/thing.php?type=183
184,"Свиток ""Ярость Воздуха""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=184
185,"Свиток ""Малая Сила Земли""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=185
186,"Свиток ""Высшая Сила Земли""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=186
187,"Свиток ""Уныние""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=187
201,Открытка,gift_card_small,https://haddan.ru/thing.php?type=201
202,Открытка,gift_card_small,https://haddan.ru/thing.php?type=202
203,Открытка,gift_card_small,https://haddan.ru/thing.php?type=203
204,Открытка,gift_card_small,https://haddan.ru/thing.php?type=204
205,Открытка,gift_card_small,https://haddan.ru/thing.php?type=205
206,Открытка,gift_card_small,https://haddan.ru/thing.php?type=206
207,Открытка,gift_card_small,https://haddan.ru/thing.php?type=207
208,Открытка,gift_card_small,https://haddan.ru/thing.php?type=208
209,Открытка,gift_card_small,https://haddan.ru/thing.php?type=209
210,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=210
211,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=211
212,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=212
213,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=213
214,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=214
215,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=215
216,Новогодняя открытка,gift_card_medium,https://haddan.ru/thing.php?type=216
217,"Открытка ""С Новым Годом!""",gift_card_large,https://haddan.ru/thing.php?type=217
218,"Открытка ""С Новым Годом!""",gift_card_large,https://haddan.ru/thing.php?type=218
219,"Открытка ""С Новым Годом!""",gift_card_large,https://haddan.ru/thing.php?type=219
220,"Открытка ""С Новым Годом!""",gift_card_large,https://haddan.ru/thing.php?type=220
221,"Открытка ""С Новым Годом!""",gift_card_large,https://haddan.ru/thing.php?type=221
222,"Открытка ""С Новым Годом!""",gift_card_large,https://haddan.ru/thing.php?type=222
235,Тёмный Меч Бессмертных,wear_weapon_sword,https://haddan.ru/thing.php?type=235
236,Открытка,gift_card_large,https://haddan.ru/thing.php?type=236
237,Меч Ангела,wear_weapon_sword,https://haddan.ru/thing.php?type=237
238,Щит Ангела,wear_shield_smallshield,https://haddan.ru/thing.php?type=238
239,Шлем Ангела,wear_helmet_helmet,https://haddan.ru/thing.php?type=239
240,Броня Ангела,wear_armor_plate,https://haddan.ru/thing.php?type=240
241,Штаны Ангела,wear_pants_pants,https://haddan.ru/thing.php?type=241
242,Сапоги Ангела,wear_boots_boots,https://haddan.ru/thing.php?type=242
243,Пояс Ангела,wear_belt_belt,https://haddan.ru/thing.php?type=243
244,Перчатки Ангела,wear_gloves_gloves,https://haddan.ru/thing.php?type=244
245,Наручи Ангела,wear_bracers_bracers,https://haddan.ru/thing.php?type=245
246,Серьги Ангела,wear_earing_earing,https://haddan.ru/thing.php?type=246
247,Мандарины,food_fruit_fruit,https://haddan.ru/thing.php?type=247
248,Магический щит,wear_amulet_amulet,https://haddan.ru/thing.php?type=248
249,Одурманивающее зелье,other_other_other,https://haddan.ru/thing.php?type=249
250,"Свиток ""Горящие руки""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=250
251,"Свиток ""Поджог""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=251
252,"Свиток ""Плевок огнём""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=252
253,"Свиток ""Малая Огненная стрела""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=253
254,"Свиток ""Изморозь""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=254
255,"Свиток ""Отек""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=255
256,"Свиток ""Тушение""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=256
257,"Свиток ""Морская болезнь""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=257
258,"Свиток ""Кусок льда""",scroll_magic_ordinary,https://haddan.ru/thing.php?type=258
259,Клинок утренней росы,wear_weapon_sword,https://haddan.ru/thing.php?type=259
260,Кольцо Нейтрала x1,wear_ring_ring,https://haddan.ru/thing.php?type=260
261,Ежовые рукавицы,wear_gloves_gloves,https://haddan.ru/thing.php?type=261
262,Учебный Меч,wear_weapon_sword,https://haddan.ru/thing.php?type=262
263,Учебный Топор,wear_weapon_axe,https://haddan.ru/thing.php?type=263
264,Учебная Дубина,wear_weapon_club,https://haddan.ru/thing.php?type=264
265,Учебный Кинжал,wear_weapon_dagger,https://haddan.ru/thing.php?type=265
266,Простой Меч,wear_weapon_sword,https://haddan.ru/thing.php?type=266
267,Простой Топор,wear_weapon_axe,https://haddan.ru/thing.php?type=267
268,Простая Дубина,wear_weapon_club,https://haddan.ru/thing.php?type=268
269,Простой Кинжал,wear_weapon_dagger,https://haddan.ru/thing.php?type=269
270,Простой Шлем,wear_helmet_helmet,https://haddan.ru/thing.php?type=270
271,Простая Броня,wear_armor_leather,https://haddan.ru/thing.php?type=271
272,Шлем оруженосца,wear_helmet_helmet,https://haddan.ru/thing.php?type=272
273,Броня оруженосца,wear_armor_chain,https://haddan.ru/thing.php?type=273
274,Штаны оруженосца,wear_pants_pants,https://haddan.ru/thing.php?type=274
275,Ботинки оруженосца,wear_boots_boots,https://haddan.ru/thing.php?type=275
276,Щит оруженосца,wear_shield_smallshield,https://haddan.ru/thing.php?type=276
277,Кинжал оруженосца,wear_weapon_dagger,https://haddan.ru/thing.php?type=277
278,Меч оруженосца,wear_weapon_sword,https://haddan.ru/thing.php?type=278
279,Секира оруженосца,wear_weapon_axe,https://haddan.ru/thing.php?type=279
280,Шлем оруженосца x1,wear_helmet_helmet,https://haddan.ru/thing.php?type=280
281,Броня оруженосца x1,wear_armor_chain,https://haddan.ru/thing.php?type=281
282,Штаны оруженосца x1,wear_pants_pants,https://haddan.ru/thing.php?type=282
283,Ботинки оруженосца x1,wear_boots_boots,https://haddan.ru/thing.php?type=283
284,Пояс оруженосца x1,wear_belt_belt,https://haddan.ru/thing.php?type=284
285,Перчатки оруженосца x1,wear_gloves_gloves,https://haddan.ru/thing.php?type=285
286,Щит оруженосца x1,wear_shield_smallshield,https://haddan.ru/thing.php?type=286
287,Кинжал оруженосца x1,wear_weapon_dagger,https://haddan.ru/thing.php?type=287
288,Меч оруженосца x1,wear_weapon_sword,https://haddan.ru/thing.php?type=288
289,Секира оруженосца x1,wear_weapon_axe,https://haddan.ru/thing.php?type=289
290,Ботинки оруженосца x2,wear_boots_boots,https://haddan.ru/thing.php?type=290
291,Пояс оруженосца x2,wear_belt_belt,https://haddan.ru/thing.php?type=291
292,Штаны оруженосца x2,wear_pants_pants,https://haddan.ru/thing.php?type=292
293,Броня оруженосца x2,wear_armor_chain,https://haddan.ru/thing.php?type=293
294,Шлем оруженосца x2,wear_helmet_helmet,https://haddan.ru/thing.php?type=294
295,Щит оруженосца x2,wear_shield_smallshield,https://haddan.ru/thing.php?type=295
296,Перчатки оруженосца x2,wear_gloves_gloves,https://haddan.ru/thing.php?type=296
297,Наручи оруженосца x2,wear_bracers_bracers,https://haddan.ru/thing.php?type=297
298,Серьги оруженосца x2,wear_earing_earing,https://haddan.ru/thing.php?type=298
299,Кольцо оруженосца x2,wear_ring_ring,https://haddan.ru/thing.php?type=299
300,Кинжал оруженосца x2,wear_weapon_dagger,https://haddan.ru/thing.php?type=300
301,Меч оруженосца x2,wear_weapon_sword,https://haddan.ru/thing.php?type=301
302,Секира оруженосца x2,wear_weapon_axe,https://haddan.ru/thing.php?type=302
303,Сапоги ветерана,wear_boots_boots,https://haddan.ru/thing.php?type=303
304,Пояс ветерана,wear_belt_belt,https://haddan.ru/thing.php?type=304
305,Штаны ветерана,wear_pants_pants,https://haddan.ru/thing.php?type=305
306,Кольчуга ветерана,wear_armor_chain,https://haddan.ru/thing.php?type=306
307,Шлем ветерана,wear_helmet_helmet,https://haddan.ru/thing.php?type=307
308,Щит ветерана,wear_shield_smallshield,https://haddan.ru/thing.php?type=308
309,Перчатки ветерана,wear_gloves_gloves,https://haddan.ru/thing.php?type=309
310,Наручи ветерана,wear_bracers_bracers,https://haddan.ru/thing.php?type=310
311,Серьги ветерана,wear_earing_earing,https://haddan.ru/thing.php?type=311
312,Кольцо ветерана,wear_ring_ring,https://haddan.ru/thing.php?type=312
313,Кинжал ветерана,wear_weapon_dagger,https://haddan.ru/thing.php?type=313
314,Клинок ветерана,wear_weapon_sword,https://haddan.ru/thing.php?type=314
315,Топорик ветерана,wear_weapon_axe,https://haddan.ru/thing.php?type=315
316,Сапоги ветерана x1,wear_boots_boots,https://haddan.ru/thing.php?type=316
317,Пояс ветерана x1,wear_belt_belt,https://haddan.ru/thing.php?type=317
318,Штаны ветерана x1,wear_pants_pants,https://haddan.ru/thing.php?type=318
319,Кольчуга ветерана x1,wear_armor_chain,https://haddan.ru/thing.php?type=319
320,Шлем ветерана x1,wear_helmet_helmet,https://haddan.ru/thing.php?type=320
321,Щит ветерана x1,wear_shield_smallshield,https://haddan.ru/thing.php?type=321
322,Перчатки ветерана x1,wear_gloves_gloves,https://haddan.ru/thing.php?type=322
323,Наручи ветерана x1,wear_bracers_bracers,https://haddan.ru/thing.php?type=323
324,Серьги ветерана x1,wear_earing_earing,https://haddan.ru/thing.php?type=324
325,Кольцо ветерана x1,wear_ring_ring,https://haddan.ru/thing.php?type=325
326,Кинжал ветерана x1,wear_weapon_dagger,https://haddan.ru/thing.php?type=326
327,Клинок ветерана x1,wear_weapon_sword,https://haddan.ru/thing.php?type=327
328,Топорик ветерана x1,wear_weapon_axe,https://haddan.ru/thing.php?type=328
329,Сапоги ветерана x2,wear_boots_boots,https://haddan.ru/thing.php?type=329
330,Пояс ветерана x2,wear_belt_belt,https://haddan.ru/thing.php?type=330
331,Штаны ветерана x2,wear_pants_pants,https://haddan.ru/thing.php?type=331
332,Кольчуга ветерана x2,wear_armor_chain,https://haddan.ru/thing.php?type=332
333,Шлем ветерана x2,wear_helmet_helmet,https://haddan.ru/thing.php?type=333
334,Щит ветерана x2,wear_shield_smallshield,https://haddan.ru/thing.php?type=334
335,Перчатки ветерана x2,wear_gloves_gloves,https://haddan.ru/thing.php?type=335
336,Наручи ветерана x2,wear_bracers_bracers,https://haddan.ru/thing.php?type=336
337,Серьги ветерана x2,wear_earing_earing,https://haddan.ru/thing.php?type=337
338,Кольцо ветерана x2,wear_ring_ring,https://haddan.ru/thing.php?type=338
339,Кинжал ветерана x2,wear_weapon_dagger,https://haddan.ru/thing.php?type=339
340,Клинок ветерана x2,wear_weapon_sword,https://haddan.ru/thing.php?type=340
341,Топорик ветерана x2,wear_weapon_axe,https://haddan.ru/thing.php?type=341
342,Нефритовые сапоги,wear_boots_boots,https://haddan.ru/thing.php?type=342
343,Нефритовый пояс,wear_belt_belt,https://haddan.ru/thing.php?type=343
344,Нефритовые штаны,wear_pants_pants,https://haddan.ru/thing.php?type=344
345,Нефритовая броня,wear_armor_chain,https://haddan.ru/thing.php?type=345
346,Нефритовый шлем,wear_helmet_helmet,https://haddan.ru/thing.php?type=346
347,Нефритовый щит,wear_shield_smallshield,https://haddan.ru/thing.php?type=347
348,Нефритовые перчатки,wear_gloves_gloves,https://haddan.ru/thing.php?type=348
349,Нефритовые наручи,wear_bracers_bracers,https://haddan.ru/thing.php?type=349
350,Серьги из нефрита,wear_earing_earing,https://haddan.ru/thing.php?type=350
351,Нефритовое кольцо,wear_ring_ring,https://haddan.ru/thing.php?type=351
352,Нефритовый кинжал,wear_weapon_dagger,https://haddan.ru/thing.php?type=352
353,Нефритовый клинок,wear_weapon_sword,https://haddan.ru/thing.php?type=353
354,Нефритовая алебарда,wear_weapon_axe,https://haddan.ru/thing.php?type=354
355,Нефритовые сапоги x1,wear_boots_boots,https://haddan.ru/thing.php?type=355
356,Нефритовый пояс x1,wear_belt_belt,https://haddan.ru/thing.php?type=356
357,Нефритовые штаны x1,wear_pants_pants,https://haddan.ru/thing.php?type=357
358,Нефритовая броня x1,wear_armor_chain,https://haddan.ru/thing.php?type=358
359,Нефритовый шлем x1,wear_helmet_helmet,https://haddan.ru/thing.php?type=359
360,Нефритовый щит x1,wear_shield_smallshield,https://haddan.ru/thing.php?type=360
361,Нефритовые перчатки x1,wear_gloves_gloves,https://haddan.ru/thing.php?type=361
362,Нефритовые наручи x1,wear_bracers_bracers,https://haddan.ru/thing.php?type=362
363,Серьги из нефрита x1,wear_earing_earing,https://haddan.ru/thing.php?type=363
364,Нефритовое кольцо x1,wear_ring_ring,https://haddan.ru/thing.php?type=364
365,Нефритовый кинжал x1,wear_weapon_dagger,https://haddan.ru/thing.php?type=365
366,Нефритовый клинок x1,wear_weapon_sword,https://haddan.ru/thing.php?type=366
367,Нефритовая алебарда x1,wear_weapon_axe,https://haddan.ru/thing.php?type=367
368,Броня мертвых земель,wear_armor_chain,https://haddan.ru/thing.php?type=368
369,Шлем мертвых земель,wear_helmet_helmet,https://haddan.ru/thing.php?type=369
370,Штаны мертвых земель,wear_pants_pants,https://haddan.ru/thing.php?type=370
371,Сапоги мертвых земель,wear_boots_boots,https://haddan.ru/thing.php?type=371
372,Кинжал мертвых земель,wear_weapon_dagger,https://haddan.ru/thing.php?type=372
373,Меч мертвых земель,wear_weapon_sword,https://haddan.ru/thing.php?type=373
374,Секира мертвых земель,wear_weapon_axe,https://haddan.ru/thing.php?type=374
375,Броня мертвых земель x1,wear_armor_chain,https://haddan.ru/thing.php?type=375
376,Шлем мертвых земель x1,wear_helmet_helmet,https://haddan.ru/thing.php?type=376
377,Штаны мертвых земель x1,wear_pants_pants,https://haddan.ru/thing.php?type=377
378,Сапоги мертвых земель x1,wear_boots_boots,https://haddan.ru/thing.php?type=378
379,Пояс мертвых земель x1,wear_belt_belt,https://haddan.ru/thing.php?type=379
380,Перчатки мертвых земель x1,wear_gloves_gloves,https://haddan.ru/thing.php?type=380
381,Кинжал мертвых земель x1,wear_weapon_dagger,https://haddan.ru/thing.php?type=381
382,Меч мертвых земель x1,wear_weapon_sword,https://haddan.ru/thing.php?type=382
383,Секира мертвых земель x1,wear_weapon_axe,https://haddan.ru/thing.php?type=383
384,Броня мертвых земель x2,wear_armor_chain,https://haddan.ru/thing.php?type=384
385,Шлем мертвых земель x2,wear_helmet_helmet,https://haddan.ru/thing.php?type=385
386,Штаны мертвых земель x2,wear_pants_pants,https://haddan.ru/thing.php?type=386
387,Сапоги мертвых земель x2,wear_boots_boots,https://haddan.ru/thing.php?type=387
388,Пояс мертвых земель x2,wear_belt_belt,https://haddan.ru/thing.php?type=388
389,Перчатки мертвых земель x2,wear_gloves_gloves,https://haddan.ru/thing.php?type=389
390,Наручи мертвых земель x2,wear_bracers_bracers,https://haddan.ru/thing.php?type=390
391,Кольцо мертвых земель x2,wear_ring_ring,https://haddan.ru/thing.php?type=391
392,Серьги мертвых земель x2,wear_earing_earing,https://haddan.ru/thing.php?type=392
393,Кинжал мертвых земель x2,wear_weapon_dagger,https://haddan.ru/thing.php?type=393
394,Меч мертвых земель x2,wear_weapon_sword,https://haddan.ru/thing.php?type=394
395,Секира мертвых земель x2,wear_weapon_axe,https://haddan.ru/thing.php?type=395
396,Броня ветра,wear_armor_chain,https://haddan.ru/thing.php?type=396
397,Шлем ветра,wear_helmet_helmet,https://haddan.ru/thing.php?type=397
398,Штаны ветра,wear_pants_pants,https://haddan.ru/thing.php?type=398
399,Сапоги ветра,wear_boots_boots,https://haddan.ru/thing.php?type=399
400,Пояс ветра,wear_belt_belt,https://haddan.ru/thing.php?type=400
401,Перчатки ветра,wear_gloves_gloves,https://haddan.ru/thing.php?type=401
402,Наручи ветра,wear_bracers_bracers,https://haddan.ru/thing.php?type=402
403,Кольцо ветра,wear_ring_ring,https://haddan.ru/thing.php?type=403
404,Серьги ветра,wear_earing_earing,https://haddan.ru/thing.php?type=404
405,Кинжал ветра,wear_weapon_dagger,https://haddan.ru/thing.php?type=405
406,Меч ветра,wear_weapon_sword,https://haddan.ru/thing.php?type=406
407,Секира ветра,wear_weapon_axe,https://haddan.ru/thing.php?type=407
408,Броня ветра x1,wear_armor_chain,https://haddan.ru/thing.php?type=408
409,Шлем ветра x1,wear_helmet_helmet,https://haddan.ru/thing.php?type=409
410,Штаны ветра x1,wear_pants_pants,https://haddan.ru/thing.php?type=410
